parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_parallel,1000,10.0,8,500,0.8510105609893799,0.1356,,
sklearn_parallel,1000,10.0,8,500,0.8598790168762207,0.14400000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8584611415863037,0.14440000000000003,,
sklearn_parallel,1000,10.0,8,500,0.8425605297088623,0.14400000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8431708812713623,0.1332,,
sklearn_parallel,1000,10.0,8,500,0.8478806018829346,0.1436,,
sklearn_parallel,1000,10.0,8,500,0.8431565761566162,0.14040000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8574459552764893,0.14479999999999998,,
sklearn_parallel,1000,10.0,8,500,0.8470189571380615,0.1424,,
sklearn_parallel,1000,10.0,8,500,0.8469221591949463,0.13840000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8417825698852539,0.13640000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8411619663238525,0.1476,,
sklearn_parallel,1000,10.0,8,500,0.8407227993011475,0.1532,,
sklearn_parallel,1000,10.0,8,500,0.8433237075805664,0.14840000000000003,,
sklearn_parallel,1000,10.0,8,500,0.8426790237426758,0.14679999999999999,,
sklearn_parallel,1000,10.0,8,500,0.845604658126831,0.136,,
sklearn_parallel,1000,10.0,8,500,0.8420894145965576,0.1376,,
sklearn_parallel,1000,10.0,8,500,0.8393633365631104,0.1332,,
sklearn_parallel,1000,10.0,8,500,0.8439006805419922,0.1428,,
sklearn_parallel,1000,10.0,8,500,0.8415188789367676,0.13240000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8417313098907471,0.1428,,
sklearn_parallel,1000,10.0,8,500,0.8410940170288086,0.1408,,
sklearn_parallel,1000,10.0,8,500,0.8429038524627686,0.1264,,
sklearn_parallel,1000,10.0,8,500,0.8420586585998535,0.1456,,
sklearn_parallel,1000,10.0,8,500,0.8419022560119629,0.1428,,
sklearn_parallel,1000,10.0,8,500,0.84847092628479,0.1532,,
sklearn_parallel,1000,10.0,8,500,0.8492960929870605,0.13920000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8424804210662842,0.1296,,
sklearn_parallel,1000,10.0,8,500,0.8423202037811279,0.136,,
sklearn_parallel,1000,10.0,8,500,0.8493359088897705,0.14520000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8496577739715576,0.15,,
sklearn_parallel,1000,10.0,8,500,0.8409218788146973,0.14400000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8481483459472656,0.1396,,
sklearn_parallel,1000,10.0,8,500,0.857274055480957,0.1276,,
sklearn_parallel,1000,10.0,8,500,0.844285249710083,0.158,,
sklearn_parallel,1000,10.0,8,500,0.8602950572967529,0.1356,,
sklearn_parallel,1000,10.0,8,500,0.8418431282043457,0.13840000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8402001857757568,0.1376,,
sklearn_parallel,1000,10.0,8,500,0.8938143253326416,0.13640000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8974761962890625,0.1456,,
sklearn_parallel,1000,10.0,8,500,0.9019646644592285,0.14640000000000003,,
sklearn_parallel,1000,10.0,8,500,0.9147374629974365,0.1376,,
sklearn_parallel,1000,10.0,8,500,0.8927428722381592,0.15000000000000002,,
sklearn_parallel,1000,10.0,8,500,0.9135584831237793,0.144,,
sklearn_parallel,1000,10.0,8,500,0.904547929763794,0.1524,,
sklearn_parallel,1000,10.0,8,500,0.8952717781066895,0.1376,,
sklearn_parallel,1000,10.0,8,500,0.8948163986206055,0.13920000000000002,,
sklearn_parallel,1000,10.0,8,500,0.9005930423736572,0.13640000000000002,,
sklearn_parallel,1000,10.0,8,500,0.9017527103424072,0.14320000000000002,,
sklearn_parallel,1000,10.0,8,500,0.9003806114196777,0.1416,,
sklearn_parallel,1000,10.0,8,500,0.8986332416534424,0.14840000000000003,,
sklearn_parallel,1000,10.0,8,500,0.8959348201751709,0.15200000000000002,,
sklearn_parallel,1000,10.0,8,500,0.9160175323486328,0.1408,,
sklearn_parallel,1000,10.0,8,500,0.906287670135498,0.13920000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8927805423736572,0.1488,,
sklearn_parallel,1000,10.0,8,500,0.9005041122436523,0.138,,
sklearn_parallel,1000,10.0,8,500,0.9008328914642334,0.14440000000000003,,
sklearn_parallel,1000,10.0,8,500,0.8951416015625,0.14040000000000002,,
sklearn_parallel,1000,10.0,8,500,0.8964357376098633,0.1316,,
sklearn_parallel,1000,10.0,8,500,0.8997061252593994,0.14640000000000003,,
