parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_non_parallel,15000,150.0,8,3000,13.054336786270142,0.13166666666666665,,
sklearn_non_parallel,15000,150.0,8,3000,13.024565935134888,0.12566666666666665,,
sklearn_non_parallel,15000,150.0,8,3000,13.133252620697021,0.13033333333333336,,
sklearn_non_parallel,15000,150.0,8,3000,13.235573291778564,0.12999999999999998,,
sklearn_non_parallel,15000,150.0,8,3000,13.118077278137207,0.12733333333333335,,
sklearn_non_parallel,15000,150.0,8,3000,13.063190937042236,0.12466666666666666,,
sklearn_non_parallel,15000,150.0,8,3000,13.105798721313477,0.13533333333333333,,
sklearn_non_parallel,15000,150.0,8,3000,13.02085256576538,0.12933333333333333,,
sklearn_non_parallel,15000,150.0,8,3000,13.051213026046753,0.13566666666666666,,
sklearn_non_parallel,15000,150.0,8,3000,13.07867693901062,0.13666666666666666,,
sklearn_non_parallel,15000,150.0,8,3000,13.062104940414429,0.13433333333333333,,
sklearn_non_parallel,15000,150.0,8,3000,13.09600043296814,0.13766666666666666,,
sklearn_non_parallel,15000,150.0,8,3000,13.019944429397583,0.13,,
sklearn_non_parallel,15000,150.0,8,3000,13.052246570587158,0.13599999999999998,,
sklearn_non_parallel,15000,150.0,8,3000,13.054361581802368,0.12900000000000003,,
sklearn_non_parallel,15000,150.0,8,3000,13.023080348968506,0.13799999999999998,,
sklearn_non_parallel,15000,150.0,8,3000,13.182408571243286,0.124,,
sklearn_non_parallel,15000,150.0,8,3000,13.038033485412598,0.14533333333333331,,
sklearn_non_parallel,15000,150.0,8,3000,13.032717943191528,0.13733333333333334,,
sklearn_non_parallel,15000,150.0,8,3000,13.04983139038086,0.13,,
sklearn_parallel,15000,150.0,8,3000,7.9994916915893555,0.129,,
sklearn_parallel,15000,150.0,8,3000,8.130242109298706,0.13233333333333333,,
sklearn_parallel,15000,150.0,8,3000,8.111828565597534,0.13340000000000002,,
sklearn_parallel,15000,150.0,8,3000,8.106525659561157,0.13493333333333332,,
