parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_non_parallel,1000,10.0,8,3000,3.360905170440674,0.12899999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.39665150642395,0.1413333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.378873586654663,0.13466666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.378031015396118,0.126,,
sklearn_non_parallel,1000,10.0,8,3000,3.374730348587036,0.13133333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.384814977645874,0.133,,
sklearn_non_parallel,1000,10.0,8,3000,3.3691093921661377,0.13400000000000004,,
sklearn_non_parallel,1000,10.0,8,3000,3.3619847297668457,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3936195373535156,0.13933333333333334,,
sklearn_non_parallel,1000,10.0,8,3000,3.3520114421844482,0.13299999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.357267141342163,0.133,,
sklearn_non_parallel,1000,10.0,8,3000,3.3571784496307373,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.376023292541504,0.124,,
sklearn_non_parallel,1000,10.0,8,3000,3.385113000869751,0.139,,
sklearn_non_parallel,1000,10.0,8,3000,3.395190715789795,0.13166666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.412583827972412,0.13633333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.3719189167022705,0.14066666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.369356632232666,0.12566666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3652870655059814,0.13433333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.392307758331299,0.12866666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.370833158493042,0.12833333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3877785205841064,0.13033333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3749988079071045,0.13766666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.3809967041015625,0.13366666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,3.3725709915161133,0.13866666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.3671045303344727,0.13199999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.393833637237549,0.13799999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.3692362308502197,0.13866666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.42423939704895,0.13833333333333334,,
sklearn_non_parallel,1000,10.0,8,3000,3.3784172534942627,0.12733333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3844873905181885,0.13,,
sklearn_non_parallel,1000,10.0,8,3000,3.3733861446380615,0.1363333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.379547595977783,0.12666666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3589935302734375,0.13233333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.402958869934082,0.13200000000000003,,
sklearn_non_parallel,1000,10.0,8,3000,3.3911707401275635,0.12966666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.388174057006836,0.13633333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.441237211227417,0.12966666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3920159339904785,0.12999999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.3799948692321777,0.13466666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.3829023838043213,0.13199999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.372602939605713,0.13233333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.373687982559204,0.11833333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.366745710372925,0.134,,
sklearn_non_parallel,1000,10.0,8,3000,3.382481336593628,0.13566666666666669,,
sklearn_non_parallel,1000,10.0,8,3000,3.3982620239257812,0.13233333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3830113410949707,0.13633333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.3725674152374268,0.13466666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.4027814865112305,0.12833333333333335,,
sklearn_non_parallel,1000,10.0,8,3000,3.4292948246002197,0.12600000000000003,,
sklearn_non_parallel,1000,10.0,8,3000,3.3565597534179688,0.133,,
sklearn_non_parallel,1000,10.0,8,3000,3.374394178390503,0.12633333333333335,,
sklearn_non_parallel,1000,10.0,8,3000,3.3642876148223877,0.137,,
sklearn_non_parallel,1000,10.0,8,3000,3.3758084774017334,0.12666666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.369215726852417,0.13966666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.376634359359741,0.13033333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3531033992767334,0.136,,
sklearn_non_parallel,1000,10.0,8,3000,3.403609275817871,0.13566666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.362618923187256,0.13166666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3730764389038086,0.13,,
sklearn_non_parallel,1000,10.0,8,3000,3.352667808532715,0.13,,
sklearn_non_parallel,1000,10.0,8,3000,3.3741676807403564,0.12733333333333335,,
sklearn_non_parallel,1000,10.0,8,3000,3.364060878753662,0.13399999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.361210823059082,0.12433333333333332,,
sklearn_non_parallel,1000,10.0,8,3000,3.346977472305298,0.13333333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3484082221984863,0.12866666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,3.343289613723755,0.134,,
sklearn_non_parallel,1000,10.0,8,3000,3.362973928451538,0.12666666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,3.3424432277679443,0.13566666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.3709864616394043,0.135,,
sklearn_non_parallel,1000,10.0,8,3000,3.3484039306640625,0.12666666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.393148422241211,0.13533333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.3611998558044434,0.13233333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.4666202068328857,0.13333333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.4378795623779297,0.13233333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.383458375930786,0.13366666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.382265567779541,0.132,,
sklearn_non_parallel,1000,10.0,8,3000,3.37626314163208,0.13866666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.3851335048675537,0.135,,
sklearn_non_parallel,1000,10.0,8,3000,3.3698909282684326,0.129,,
sklearn_non_parallel,1000,10.0,8,3000,3.3782782554626465,0.12766666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.354905843734741,0.138,,
sklearn_non_parallel,1000,10.0,8,3000,3.369442939758301,0.13533333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.3689329624176025,0.131,,
sklearn_non_parallel,1000,10.0,8,3000,3.3675758838653564,0.133,,
sklearn_non_parallel,1000,10.0,8,3000,3.3483152389526367,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3704254627227783,0.12999999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.361548662185669,0.13,,
sklearn_non_parallel,1000,10.0,8,3000,3.366305112838745,0.134,,
sklearn_non_parallel,1000,10.0,8,3000,3.358975887298584,0.12833333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3488898277282715,0.13599999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.4030601978302,0.12933333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.369156837463379,0.13366666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.392862319946289,0.13,,
sklearn_non_parallel,1000,10.0,8,3000,3.4087250232696533,0.13899999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.3982293605804443,0.13733333333333334,,
sklearn_non_parallel,1000,10.0,8,3000,3.379167318344116,0.13466666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.399801254272461,0.127,,
sklearn_non_parallel,1000,10.0,8,3000,3.3948755264282227,0.137,,
sklearn_non_parallel,1000,10.0,8,3000,3.411947727203369,0.12766666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.400533676147461,0.13433333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.395958662033081,0.12866666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3857057094573975,0.12766666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,3.3617279529571533,0.124,,
sklearn_non_parallel,1000,10.0,8,3000,3.381406307220459,0.12766666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.4001080989837646,0.13366666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.3543176651000977,0.13666666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.4032890796661377,0.12999999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.3571982383728027,0.13,,
sklearn_non_parallel,1000,10.0,8,3000,3.390528917312622,0.13366666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.355741500854492,0.12833333333333335,,
sklearn_non_parallel,1000,10.0,8,3000,3.346205472946167,0.13399999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.371321439743042,0.13666666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.3923935890197754,0.12866666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,3.3849313259124756,0.13533333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.40071702003479,0.12933333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.4007678031921387,0.126,,
sklearn_non_parallel,1000,10.0,8,3000,3.397130250930786,0.12366666666666667,,
sklearn_non_parallel,1000,10.0,8,3000,3.3888473510742188,0.13733333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.393296003341675,0.12766666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3692421913146973,0.12933333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3942909240722656,0.13733333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.398967981338501,0.12833333333333335,,
sklearn_non_parallel,1000,10.0,8,3000,3.367889642715454,0.13066666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.382025957107544,0.13499999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.3966355323791504,0.13399999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.387299060821533,0.13233333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.4638161659240723,0.12866666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3956615924835205,0.12566666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.413393259048462,0.13233333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.4510011672973633,0.13533333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.455049753189087,0.13966666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.4425487518310547,0.131,,
sklearn_non_parallel,1000,10.0,8,3000,3.3937830924987793,0.12866666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.3952114582061768,0.132,,
sklearn_non_parallel,1000,10.0,8,3000,3.5047898292541504,0.13466666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.459869384765625,0.133,,
sklearn_non_parallel,1000,10.0,8,3000,3.418501615524292,0.139,,
sklearn_non_parallel,1000,10.0,8,3000,3.453298330307007,0.13066666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.4683878421783447,0.13033333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.4052486419677734,0.12666666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,3.416632652282715,0.13233333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.450515031814575,0.129,,
sklearn_non_parallel,1000,10.0,8,3000,3.4254863262176514,0.13199999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,3.415611505508423,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,3.414444923400879,0.13133333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.416249990463257,0.12833333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3757522106170654,0.13033333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.3999905586242676,0.132,,
sklearn_non_parallel,1000,10.0,8,3000,3.411668062210083,0.13433333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,3.422579526901245,0.13366666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,3.4171295166015625,0.14100000000000001,,
sklearn_non_parallel,1000,10.0,8,3000,3.411539316177368,0.13733333333333334,,
sklearn_non_parallel,1000,10.0,8,3000,3.3931846618652344,0.13533333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,3.3775758743286133,0.12966666666666665,,
