parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_non_parallel,1000,10.0,8,500,0.7606468200683594,0.144,,
sklearn_non_parallel,1000,10.0,8,500,0.7075300216674805,0.14200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6930670738220215,0.158,,
sklearn_non_parallel,1000,10.0,8,500,0.6969270706176758,0.15200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.7021868228912354,0.14800000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6906089782714844,0.152,,
sklearn_non_parallel,1000,10.0,8,500,0.6859922409057617,0.14999999999999997,,
sklearn_non_parallel,1000,10.0,8,500,0.6848690509796143,0.14600000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6826848983764648,0.132,,
sklearn_non_parallel,1000,10.0,8,500,0.7137055397033691,0.12,,
sklearn_non_parallel,1000,10.0,8,500,0.6853580474853516,0.15000000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6816701889038086,0.15799999999999997,,
sklearn_non_parallel,1000,10.0,8,500,0.7226102352142334,0.15000000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6856949329376221,0.138,,
sklearn_non_parallel,1000,10.0,8,500,0.685253381729126,0.156,,
sklearn_non_parallel,1000,10.0,8,500,0.7194383144378662,0.164,,
sklearn_non_parallel,1000,10.0,8,500,0.6800169944763184,0.152,,
sklearn_non_parallel,1000,10.0,8,500,0.6821224689483643,0.14200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.7270278930664062,0.138,,
sklearn_non_parallel,1000,10.0,8,500,0.6927547454833984,0.166,,
sklearn_non_parallel,1000,10.0,8,500,0.6840460300445557,0.14200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.716149091720581,0.152,,
sklearn_non_parallel,1000,10.0,8,500,0.6934201717376709,0.16999999999999998,,
sklearn_non_parallel,1000,10.0,8,500,0.6849052906036377,0.128,,
sklearn_non_parallel,1000,10.0,8,500,0.698035478591919,0.14,,
sklearn_non_parallel,1000,10.0,8,500,0.686762809753418,0.164,,
sklearn_non_parallel,1000,10.0,8,500,0.687079906463623,0.148,,
sklearn_non_parallel,1000,10.0,8,500,0.7259163856506348,0.148,,
sklearn_non_parallel,1000,10.0,8,500,0.6836752891540527,0.162,,
sklearn_non_parallel,1000,10.0,8,500,0.6978697776794434,0.142,,
sklearn_non_parallel,1000,10.0,8,500,0.7002136707305908,0.128,,
sklearn_non_parallel,1000,10.0,8,500,0.6983585357666016,0.152,,
sklearn_non_parallel,1000,10.0,8,500,0.6853845119476318,0.14200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.7137422561645508,0.14,,
sklearn_non_parallel,1000,10.0,8,500,0.6971540451049805,0.158,,
sklearn_non_parallel,1000,10.0,8,500,0.7027380466461182,0.14600000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6882684230804443,0.136,,
sklearn_non_parallel,1000,10.0,8,500,0.692180871963501,0.154,,
sklearn_non_parallel,1000,10.0,8,500,0.6948051452636719,0.14200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6950619220733643,0.152,,
sklearn_non_parallel,1000,10.0,8,500,0.6911146640777588,0.14200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6982848644256592,0.136,,
sklearn_non_parallel,1000,10.0,8,500,0.7125427722930908,0.166,,
sklearn_non_parallel,1000,10.0,8,500,0.6840176582336426,0.154,,
sklearn_non_parallel,1000,10.0,8,500,0.6889510154724121,0.15199999999999997,,
sklearn_non_parallel,1000,10.0,8,500,0.7034816741943359,0.164,,
sklearn_non_parallel,1000,10.0,8,500,0.6955006122589111,0.146,,
sklearn_non_parallel,1000,10.0,8,500,0.7045600414276123,0.14,,
sklearn_non_parallel,1000,10.0,8,500,0.6949746608734131,0.136,,
sklearn_non_parallel,1000,10.0,8,500,0.6896440982818604,0.154,,
sklearn_non_parallel,1000,10.0,8,500,0.6971511840820312,0.128,,
sklearn_non_parallel,1000,10.0,8,500,0.7002913951873779,0.168,,
sklearn_non_parallel,1000,10.0,8,500,0.698413610458374,0.14600000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6896510124206543,0.144,,
sklearn_non_parallel,1000,10.0,8,500,0.6969709396362305,0.16,,
sklearn_non_parallel,1000,10.0,8,500,0.6846530437469482,0.154,,
sklearn_non_parallel,1000,10.0,8,500,0.6887414455413818,0.138,,
sklearn_non_parallel,1000,10.0,8,500,0.7090883255004883,0.16,,
sklearn_non_parallel,1000,10.0,8,500,0.6929216384887695,0.15,,
sklearn_non_parallel,1000,10.0,8,500,0.6889691352844238,0.124,,
sklearn_non_parallel,1000,10.0,8,500,0.7213034629821777,0.14200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6921780109405518,0.15000000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.693871259689331,0.15,,
sklearn_non_parallel,1000,10.0,8,500,0.6960222721099854,0.128,,
sklearn_non_parallel,1000,10.0,8,500,0.6883273124694824,0.13,,
sklearn_non_parallel,1000,10.0,8,500,0.6839256286621094,0.136,,
sklearn_non_parallel,1000,10.0,8,500,0.7116892337799072,0.15000000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6848986148834229,0.14,,
sklearn_non_parallel,1000,10.0,8,500,0.6892845630645752,0.158,,
sklearn_non_parallel,1000,10.0,8,500,0.7135107517242432,0.136,,
sklearn_non_parallel,1000,10.0,8,500,0.6899688243865967,0.154,,
sklearn_non_parallel,1000,10.0,8,500,0.7006640434265137,0.156,,
sklearn_non_parallel,1000,10.0,8,500,0.6925053596496582,0.136,,
sklearn_non_parallel,1000,10.0,8,500,0.6872518062591553,0.15200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.6964588165283203,0.15,,
