parcel,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
0,10000,100.0,8,800,2.6334140300750732,0.1375,,
0,10000,100.0,8,800,2.626391649246216,0.11499999999999999,,
0,10000,100.0,8,800,2.6573312282562256,0.1275,,
0,10000,100.0,8,800,2.644273042678833,0.14875000000000002,,
0,10000,100.0,8,800,2.6607697010040283,0.13875,,
0,10000,100.0,8,800,2.6276769638061523,0.13374999999999998,,
0,10000,100.0,8,800,2.6303787231445312,0.14750000000000002,,
0,10000,100.0,8,800,2.6090848445892334,0.12125,,
0,10000,100.0,8,800,2.6173043251037598,0.13999999999999999,,
0,10000,100.0,8,800,2.6393542289733887,0.12625,,
0,10000,100.0,8,800,2.616455554962158,0.13874999999999998,,
0,10000,100.0,8,800,2.6205379962921143,0.13499999999999998,,
0,10000,100.0,8,800,2.6270806789398193,0.13125,,
0,10000,100.0,8,800,2.6495847702026367,0.1375,,
0,10000,100.0,8,800,2.6606485843658447,0.16749999999999998,,
0,10000,100.0,8,800,2.6390433311462402,0.13499999999999998,,
0,10000,100.0,8,800,2.6376686096191406,0.13874999999999998,,
0,10000,100.0,8,800,2.6306440830230713,0.1275,,
0,10000,100.0,8,800,2.644357681274414,0.15375,,
0,10000,100.0,8,800,2.6469719409942627,0.13999999999999999,,
0,10000,100.0,8,800,2.634303092956543,0.13,,
0,10000,100.0,8,800,2.6381022930145264,0.13,,
0,10000,100.0,8,800,2.704375743865967,0.11750000000000001,,
0,10000,100.0,8,800,2.6682183742523193,0.14625000000000002,,
0,10000,100.0,8,800,2.676525592803955,0.13999999999999999,,
0,10000,100.0,8,800,2.651481866836548,0.11875,,
0,10000,100.0,8,800,2.6487228870391846,0.1375,,
0,10000,100.0,8,800,2.6426033973693848,0.13875,,
0,10000,100.0,8,800,2.680999755859375,0.14125000000000001,,
0,10000,100.0,8,800,2.6494789123535156,0.13875,,
0,10000,100.0,8,800,2.6615242958068848,0.13,,
0,10000,100.0,8,800,2.6713664531707764,0.12249999999999998,,
0,10000,100.0,8,800,2.675710439682007,0.13374999999999998,,
0,10000,100.0,8,800,2.686749219894409,0.13374999999999998,,
0,10000,100.0,8,800,2.677659273147583,0.12000000000000002,,
0,10000,100.0,8,800,2.6327550411224365,0.12000000000000002,,
0,10000,100.0,8,800,2.6912553310394287,0.13374999999999998,,
0,10000,100.0,8,800,2.6662540435791016,0.10750000000000001,,
0,10000,100.0,8,800,2.636749267578125,0.1325,,
0,10000,100.0,8,800,2.6980743408203125,0.1325,,
0,10000,100.0,8,800,2.668370485305786,0.1325,,
0,10000,100.0,8,800,2.6847922801971436,0.14875,,
0,10000,100.0,8,800,2.6647963523864746,0.12875,,
0,10000,100.0,8,800,2.6728618144989014,0.13000000000000003,,
0,10000,100.0,8,800,2.6548044681549072,0.11500000000000002,,
0,10000,100.0,8,800,2.7103092670440674,0.12125,,
0,10000,100.0,8,800,2.671881675720215,0.135,,
0,10000,100.0,8,800,2.683276414871216,0.12374999999999999,,
0,10000,100.0,8,800,2.709336996078491,0.135,,
0,10000,100.0,8,800,2.6344223022460938,0.15375,,
0,10000,100.0,8,800,,,2.74165940284729,0.10249999761581421
0,10000,100.0,8,800,,,2.7012557983398438,0.1
0,10000,100.0,8,800,,,2.6755504608154297,0.11500000059604645
0,10000,100.0,8,800,,,2.6943435668945312,0.13375000059604644
0,10000,100.0,8,800,,,2.6723172664642334,0.11874999925494194
0,10000,100.0,8,800,,,2.74908447265625,0.11374999880790711
0,10000,100.0,8,800,,,2.6921229362487793,0.11375000029802322
0,10000,100.0,8,800,,,2.662827491760254,0.10625
0,10000,100.0,8,800,,,2.7088582515716553,0.1074999988079071
0,10000,100.0,8,800,,,2.641792058944702,0.10750000029802323
