parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_non_parallel,1000,10.0,8,500,0.9460248947143555,0.166,,
sklearn_non_parallel,1000,10.0,8,500,0.6517131328582764,0.148,,
sklearn_non_parallel,1000,10.0,8,500,0.7326452732086182,0.18,,
sklearn_non_parallel,1000,10.0,8,500,0.7024071216583252,0.15200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.8465681076049805,0.158,,
sklearn_non_parallel,1000,10.0,8,500,0.5993139743804932,0.156,,
sklearn_non_parallel,1000,10.0,8,500,0.7501189708709717,0.16000000000000003,,
sklearn_non_parallel,1000,10.0,8,500,1.0237908363342285,0.158,,
sklearn_non_parallel,1000,10.0,8,500,0.6115796566009521,0.17400000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.8608708381652832,0.156,,
sklearn_non_parallel,1000,10.0,8,500,0.7256648540496826,0.15800000000000003,,
sklearn_non_parallel,1000,10.0,8,500,0.4434366226196289,0.154,,
sklearn_non_parallel,1000,10.0,8,500,0.30957865715026855,0.15,,
sklearn_non_parallel,1000,10.0,8,500,0.5817708969116211,0.15200000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.44553351402282715,0.158,,
sklearn_non_parallel,1000,10.0,8,500,0.4206521511077881,0.15600000000000003,,
sklearn_non_parallel,1000,10.0,8,500,0.7078647613525391,0.16,,
sklearn_non_parallel,1000,10.0,8,500,0.9483561515808105,0.164,,
sklearn_non_parallel,1000,10.0,8,500,0.6151866912841797,0.152,,
sklearn_non_parallel,1000,10.0,8,500,0.29252076148986816,0.16,,
sklearn_non_parallel,1000,10.0,8,500,0.556279182434082,0.162,,
sklearn_non_parallel,1000,10.0,8,500,0.5955040454864502,0.164,,
sklearn_non_parallel,1000,10.0,8,500,0.820059061050415,0.14600000000000002,,
sklearn_non_parallel,1000,10.0,8,500,1.00221586227417,0.14800000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.5902464389801025,0.15000000000000002,,
sklearn_non_parallel,1000,10.0,8,500,0.7267301082611084,0.172,,
sklearn_non_parallel,1000,10.0,8,500,0.8628087043762207,0.16,,
sklearn_non_parallel,1000,10.0,8,500,0.7481157779693604,0.14,,
sklearn_non_parallel,1000,10.0,8,500,0.9968936443328857,0.154,,
sklearn_non_parallel,1000,10.0,8,500,0.7515261173248291,0.15400000000000003,,
sklearn_non_parallel,1000,10.0,8,500,0.4192233085632324,0.14,,
sklearn_non_parallel,1000,10.0,8,500,0.7290353775024414,0.16,,
sklearn_non_parallel,1000,10.0,8,500,0.5805375576019287,0.166,,
sklearn_non_parallel,1000,10.0,8,500,0.5737926959991455,0.16999999999999998,,
