parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_non_parallel,15000,150.0,8,500,1.8959698677062988,0.14600000000000002,,
sklearn_non_parallel,15000,150.0,8,500,1.315006971359253,0.13,,
sklearn_non_parallel,15000,150.0,8,500,1.3113353252410889,0.156,,
sklearn_non_parallel,15000,150.0,8,500,1.4739985466003418,0.136,,
sklearn_non_parallel,15000,150.0,8,500,1.4190640449523926,0.132,,
sklearn_non_parallel,15000,150.0,8,500,1.4439587593078613,0.152,,
sklearn_non_parallel,15000,150.0,8,500,1.413081169128418,0.146,,
sklearn_non_parallel,15000,150.0,8,500,1.0427050590515137,0.16,,
sklearn_non_parallel,15000,150.0,8,500,1.1812384128570557,0.134,,
sklearn_non_parallel,15000,150.0,8,500,1.3188672065734863,0.13999999999999999,,
sklearn_non_parallel,15000,150.0,8,500,1.4369935989379883,0.166,,
sklearn_non_parallel,15000,150.0,8,500,1.2748463153839111,0.146,,
sklearn_non_parallel,15000,150.0,8,500,1.4096274375915527,0.14400000000000002,,
sklearn_non_parallel,15000,150.0,8,500,1.1887614727020264,0.136,,
sklearn_non_parallel,15000,150.0,8,500,1.4490199089050293,0.14,,
sklearn_non_parallel,15000,150.0,8,500,1.0207571983337402,0.152,,
sklearn_non_parallel,15000,150.0,8,500,1.296696662902832,0.17400000000000002,,
sklearn_non_parallel,15000,150.0,8,500,1.453376293182373,0.136,,
sklearn_non_parallel,15000,150.0,8,500,1.0250024795532227,0.14400000000000002,,
sklearn_non_parallel,15000,150.0,8,500,1.2090320587158203,0.14,,
cuML,15000,150.0,8,500,,,3.3610689640045166,0.13999999761581422
cuML,15000,150.0,8,500,,,3.2570745944976807,0.1320000022649765
cuML,15000,150.0,8,500,,,3.342801332473755,0.10399999842047691
cuML,15000,150.0,8,500,,,3.4016406536102295,0.12799999862909317
cuML,15000,150.0,8,500,,,3.246738910675049,0.1300000011920929
cuML,15000,150.0,8,500,,,3.294816493988037,0.13199999779462815
cuML,15000,150.0,8,500,,,3.3280069828033447,0.10999999791383744
cuML,15000,150.0,8,500,,,3.3767635822296143,0.10399999916553497
cuML,15000,150.0,8,500,,,3.256405830383301,0.11599999964237213
cuML,15000,150.0,8,500,,,3.2639338970184326,0.1260000005364418
cuML,15000,150.0,8,500,,,3.3923676013946533,0.10799999833106995
cuML,15000,150.0,8,500,,,3.31980299949646,0.09200000017881393
cuML,15000,150.0,8,500,,,3.3237533569335938,0.11999999657273293
cuML,15000,150.0,8,500,,,3.2272069454193115,0.1500000014901161
cuML,15000,150.0,8,500,,,3.3941516876220703,0.11799999848008155
cuML,15000,150.0,8,500,,,3.3969414234161377,0.12799999862909317
cuML,15000,150.0,8,500,,,3.26511812210083,0.12199999988079072
cuML,15000,150.0,8,500,,,3.3057217597961426,0.10800000131130219
cuML,15000,150.0,8,500,,,3.3090829849243164,0.10600000023841857
cuML,15000,150.0,8,500,,,3.3955209255218506,0.12000000178813934
sklearn_parallel,15000,150.0,8,500,2.303408622741699,0.14,,
sklearn_parallel,15000,150.0,8,500,1.5486838817596436,0.1464,,
sklearn_parallel,15000,150.0,8,500,1.5393238067626953,0.14640000000000003,,
sklearn_parallel,15000,150.0,8,500,1.5616300106048584,0.14920000000000003,,
