parcel,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
0,10000,100.0,8,800,3.207498788833618,0.14625000000000002,,
0,10000,100.0,8,800,1.2960915565490723,0.11749999999999998,,
0,10000,100.0,8,800,1.2454962730407715,0.1125,,
0,10000,100.0,8,800,1.2649123668670654,0.12875,,
0,10000,100.0,8,800,1.1406724452972412,0.1325,,
0,10000,100.0,8,800,1.1521368026733398,0.13999999999999999,,
0,10000,100.0,8,800,1.1123435497283936,0.11875,,
0,10000,100.0,8,800,1.259479284286499,0.13625,,
0,10000,100.0,8,800,1.3161463737487793,0.13874999999999998,,
0,10000,100.0,8,800,1.1296095848083496,0.13125,,
0,10000,100.0,8,800,1.1328160762786865,0.1275,,
0,10000,100.0,8,800,1.257154941558838,0.12875,,
0,10000,100.0,8,800,1.1371984481811523,0.125,,
0,10000,100.0,8,800,1.1494033336639404,0.13374999999999998,,
0,10000,100.0,8,800,1.146927833557129,0.10874999999999999,,
0,10000,100.0,8,800,1.2286739349365234,0.14499999999999996,,
0,10000,100.0,8,800,1.3142430782318115,0.11750000000000001,,
0,10000,100.0,8,800,0.8981497287750244,0.1275,,
0,10000,100.0,8,800,1.1871569156646729,0.13999999999999999,,
0,10000,100.0,8,800,1.1955583095550537,0.13375,,
0,10000,100.0,8,800,1.1852285861968994,0.11624999999999999,,
0,10000,100.0,8,800,1.1281983852386475,0.12,,
0,10000,100.0,8,800,1.2622528076171875,0.1075,,
0,10000,100.0,8,800,1.186126947402954,0.09375,,
0,10000,100.0,8,800,1.191253900527954,0.13874999999999998,,
0,10000,100.0,8,800,1.2488937377929688,0.1275,,
0,10000,100.0,8,800,1.2704098224639893,0.1325,,
0,10000,100.0,8,800,1.2564990520477295,0.13999999999999999,,
0,10000,100.0,8,800,1.230780839920044,0.1375,,
0,10000,100.0,8,800,1.2814280986785889,0.11124999999999999,,
0,10000,100.0,8,800,1.235884189605713,0.11875,,
0,10000,100.0,8,800,1.1821424961090088,0.12125000000000001,,
0,10000,100.0,8,800,1.2119264602661133,0.11000000000000001,,
0,10000,100.0,8,800,1.106245517730713,0.1275,,
0,10000,100.0,8,800,1.2182319164276123,0.10625,,
0,10000,100.0,8,800,1.0825467109680176,0.16125,,
0,10000,100.0,8,800,1.0498528480529785,0.1375,,
0,10000,100.0,8,800,0.9614872932434082,0.14250000000000002,,
0,10000,100.0,8,800,1.242548942565918,0.12500000000000003,,
0,10000,100.0,8,800,1.2863013744354248,0.13625,,
0,10000,100.0,8,800,1.2188758850097656,0.1325,,
0,10000,100.0,8,800,1.253049373626709,0.13874999999999998,,
0,10000,100.0,8,800,1.1775829792022705,0.125,,
0,10000,100.0,8,800,1.2443456649780273,0.13374999999999998,,
0,10000,100.0,8,800,1.2185332775115967,0.11374999999999999,,
0,10000,100.0,8,800,1.3557958602905273,0.11499999999999999,,
0,10000,100.0,8,800,1.0653445720672607,0.1325,,
0,10000,100.0,8,800,0.9979422092437744,0.11875,,
0,10000,100.0,8,800,1.26776123046875,0.13,,
0,10000,100.0,8,800,1.2509841918945312,0.12625,,
1,1000,10.0,8,800,1.0421109199523926,0.34500000000000003,,
1,1000,10.0,8,800,1.2204399108886719,0.22249999999999998,,
1,1000,10.0,8,800,0.9530637264251709,0.27749999999999997,,
1,1000,10.0,8,800,1.155594825744629,0.23625,,
1,1000,10.0,8,800,1.1877906322479248,0.28500000000000003,,
1,1000,10.0,8,800,1.230400800704956,0.33124999999999993,,
1,1000,10.0,8,800,1.0174012184143066,0.2875,,
1,1000,10.0,8,800,0.9479372501373291,0.25875,,
1,1000,10.0,8,800,0.7259922027587891,0.24500000000000002,,
1,1000,10.0,8,800,0.6164493560791016,0.23500000000000001,,
1,1000,10.0,8,800,1.186650276184082,0.29750000000000004,,
1,1000,10.0,8,800,1.174448013305664,0.27625,,
