parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_parallel,1000,10.0,8,3000,3.8227338790893555,0.13186666666666666,,
sklearn_parallel,1000,10.0,8,3000,3.824713706970215,0.12793333333333332,,
sklearn_parallel,1000,10.0,8,3000,3.8015120029449463,0.13246666666666668,,
sklearn_parallel,1000,10.0,8,3000,3.8165595531463623,0.13133333333333336,,
sklearn_parallel,1000,10.0,8,3000,3.831686496734619,0.13013333333333335,,
sklearn_parallel,1000,10.0,8,3000,3.8647594451904297,0.12973333333333334,,
sklearn_parallel,1000,10.0,8,3000,3.833439350128174,0.1282,,
sklearn_parallel,1000,10.0,8,3000,3.819446086883545,0.13033333333333333,,
sklearn_parallel,1000,10.0,8,3000,3.8155388832092285,0.13066666666666665,,
sklearn_parallel,1000,10.0,8,3000,4.005814552307129,0.1328,,
sklearn_parallel,1000,10.0,8,3000,4.104733943939209,0.12893333333333334,,
sklearn_parallel,1000,10.0,8,3000,4.086334466934204,0.1317333333333333,,
sklearn_parallel,1000,10.0,8,3000,4.100851058959961,0.13186666666666666,,
sklearn_parallel,1000,10.0,8,3000,4.1042492389678955,0.13306666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.1089088916778564,0.12686666666666668,,
sklearn_parallel,1000,10.0,8,3000,4.139301300048828,0.13293333333333335,,
sklearn_parallel,1000,10.0,8,3000,4.119268894195557,0.13026666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.111222267150879,0.1309333333333333,,
sklearn_parallel,1000,10.0,8,3000,4.083731412887573,0.13040000000000002,,
sklearn_parallel,1000,10.0,8,3000,4.102356195449829,0.1312666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.084431171417236,0.12773333333333334,,
sklearn_parallel,1000,10.0,8,3000,4.104455232620239,0.13106666666666666,,
sklearn_parallel,1000,10.0,8,3000,4.089354515075684,0.13126666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.084938049316406,0.13333333333333336,,
sklearn_parallel,1000,10.0,8,3000,4.113534688949585,0.1308,,
sklearn_parallel,1000,10.0,8,3000,4.0754852294921875,0.12886666666666668,,
sklearn_parallel,1000,10.0,8,3000,4.093503475189209,0.1304,,
sklearn_parallel,1000,10.0,8,3000,4.1501076221466064,0.13173333333333334,,
sklearn_parallel,1000,10.0,8,3000,4.08185076713562,0.12766666666666665,,
sklearn_parallel,1000,10.0,8,3000,4.0751707553863525,0.13013333333333335,,
sklearn_parallel,1000,10.0,8,3000,4.091791868209839,0.12853333333333333,,
sklearn_parallel,1000,10.0,8,3000,4.080948829650879,0.12946666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.09958291053772,0.1300666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.131302118301392,0.1317333333333333,,
sklearn_parallel,1000,10.0,8,3000,4.096758842468262,0.12946666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.0957419872283936,0.128,,
sklearn_parallel,1000,10.0,8,3000,4.097605228424072,0.1312666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.11018967628479,0.13166666666666665,,
sklearn_parallel,1000,10.0,8,3000,4.1018993854522705,0.12593333333333334,,
sklearn_parallel,1000,10.0,8,3000,4.101987361907959,0.13093333333333335,,
sklearn_parallel,1000,10.0,8,3000,4.11435604095459,0.12853333333333333,,
sklearn_parallel,1000,10.0,8,3000,4.109806299209595,0.13133333333333336,,
sklearn_parallel,1000,10.0,8,3000,4.125189304351807,0.1258,,
sklearn_parallel,1000,10.0,8,3000,4.096222162246704,0.12966666666666665,,
sklearn_parallel,1000,10.0,8,3000,4.143258810043335,0.13006666666666664,,
sklearn_parallel,1000,10.0,8,3000,4.090382814407349,0.12826666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.095792055130005,0.12706666666666666,,
sklearn_parallel,1000,10.0,8,3000,4.115184783935547,0.12926666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.093140602111816,0.13126666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.139064788818359,0.12786666666666666,,
sklearn_parallel,1000,10.0,8,3000,4.131884813308716,0.12919999999999998,,
sklearn_parallel,1000,10.0,8,3000,4.085875988006592,0.13299999999999998,,
sklearn_parallel,1000,10.0,8,3000,4.097935676574707,0.1316,,
sklearn_parallel,1000,10.0,8,3000,4.098999500274658,0.12926666666666667,,
sklearn_parallel,1000,10.0,8,3000,4.1020917892456055,0.13119999999999998,,
sklearn_parallel,1000,10.0,8,3000,4.093606233596802,0.132,,
sklearn_parallel,1000,10.0,8,3000,4.121676206588745,0.13219999999999996,,
sklearn_parallel,1000,10.0,8,3000,4.092475414276123,0.1304,,
sklearn_parallel,1000,10.0,8,3000,4.098444223403931,0.12866666666666665,,
sklearn_parallel,1000,10.0,8,3000,4.1121392250061035,0.12946666666666667,,
